Assembly Only	Total	Error %	QV
54	69937	0.0000	46.0
0	3767696	0.0000	inf
97	5103212	0.0000	62.1
88	37755	0.0001	41.2
0	18887	0.0000	inf
22	3897868	0.0000	67.4
44	3378922	0.0000	63.8
30	9306455	0.0000	69.8
30	1065198	0.0000	60.4
4	2908232	0.0000	73.5
131	80933	0.0001	42.8
9	380050	0.0000	61.2
56	2672617	0.0000	61.7
11	3508804	0.0000	70.0
0	3796811	0.0000	inf
86	2698213	0.0000	59.9
58	44442	0.0000	43.8
29	43243	0.0000	46.6
0	36580	0.0000	inf
34	25839	0.0000	43.7
0	1294176	0.0000	inf
0	241204	0.0000	inf
0	53774	0.0000	inf
32	55352	0.0000	47.3
0	5768052	0.0000	inf
30	88632	0.0000	49.6
35	48086	0.0000	46.3
179	51877	0.0001	39.5
0	86121	0.0000	inf
27	41947	0.0000	46.8
30	43357	0.0000	46.5
56	810321	0.0000	56.5
30	30522	0.0000	45.0
0	191197	0.0000	inf
113	60746	0.0001	42.2
118	102372	0.0000	44.3
88	32137	0.0001	40.5
0	43438	0.0000	inf
94	65476	0.0000	43.3
76	20327	0.0001	39.2
30	61682	0.0000	48.0
30	87229	0.0000	49.5
29	59442	0.0000	48.0
29	27408	0.0000	44.7
131	34631	0.0001	39.1
0	17790	0.0000	inf
99	40403	0.0001	41.0
0	35220	0.0000	inf
59	38405	0.0000	43.0
85	36923	0.0001	41.3
0	44701	0.0000	inf
109	30497	0.0001	39.4
60	78945	0.0000	46.1
0	32812	0.0000	inf
0	69208	0.0000	inf
29	10292	0.0001	40.4
98	78493	0.0000	43.9
59	36500	0.0001	42.8
101	32023	0.0001	39.9
80	9599	0.0003	35.7
73	18489	0.0001	38.9
0	51403	0.0000	inf
60	18886	0.0001	39.9
0	48926	0.0000	inf
30	123140	0.0000	51.0
72	15989	0.0001	38.4
90	37521	0.0001	41.1
120	24738	0.0002	38.0
0	57845	0.0000	inf
30	37811	0.0000	45.9
0	41537	0.0000	inf
26	7332	0.0001	39.4
0	52781	0.0000	inf
53	69438	0.0000	46.1
0	14767	0.0000	inf
23	7658	0.0001	40.1
60	70388	0.0000	45.6
52	28115	0.0001	42.2
51	47631	0.0000	44.6
80	1861234	0.0000	58.6
30	40112	0.0000	46.2
30	69256	0.0000	48.5
69	17858	0.0001	39.0
0	22800	0.0000	inf
59	37655	0.0001	43.0
0	35294	0.0000	inf
30	35527	0.0000	45.6
0	27854	0.0000	inf
0	59972	0.0000	inf
109	20152	0.0002	37.6
